Datetime,Temp_F,Temp_C
2024-01-01 00:55:00,33.8,0.9999999999999984
2024-01-01 01:55:00,30.9,-0.6111111111111119
2024-01-01 02:55:00,26.8,-2.8888888888888884
2024-01-01 03:55:00,24.8,-3.9999999999999996
2024-01-01 04:55:00,21.7,-5.722222222222222
2024-01-01 04:55:00,21.7,-5.722222222222222
2024-01-01 05:55:00,24.6,-4.11111111111111
2024-01-01 06:55:00,18.7,-7.388888888888889
2024-01-01 07:55:00,24.3,-4.277777777777778
2024-01-01 08:55:00,21.7,-5.722222222222222
2024-01-01 09:55:00,18.9,-7.277777777777779
2024-01-01 10:55:00,20.1,-6.61111111111111
2024-01-01 11:55:00,20.1,-6.61111111111111
2024-01-01 12:55:00,19.0,-7.222222222222222
2024-01-01 13:55:00,21.4,-5.888888888888889
2024-01-01 14:55:00,21.6,-5.777777777777777
2024-01-01 15:55:00,30.4,-0.8888888888888896
2024-01-01 16:55:00,41.9,5.499999999999999
2024-01-01 17:55:00,49.6,9.777777777777779
2024-01-01 18:55:00,52.5,11.38888888888889
2024-01-01 19:55:00,52.9,11.61111111111111
2024-01-01 20:55:00,53.1,11.722222222222223
2024-01-01 21:55:00,53.4,11.888888888888888
2024-01-01 22:55:00,50.5,10.277777777777777
2024-01-01 23:55:00,41.0,5.0
2024-01-02 00:55:00,42.1,5.611111111111112
2024-01-02 01:55:00,39.6,4.222222222222223
2024-01-02 02:55:00,30.6,-0.777777777777777
2024-01-02 03:55:00,31.3,-0.3888888888888885
2024-01-02 04:55:00,30.9,-0.6111111111111119
2024-01-02 05:55:00,31.5,-0.2777777777777778
2024-01-02 06:55:00,34.0,1.1111111111111112
2024-01-02 07:55:00,31.6,-0.22222222222222143
2024-01-02 08:55:00,32.2,0.11111111111111269
2024-01-02 09:55:00,30.4,-0.8888888888888896
2024-01-02 10:55:00,30.7,-0.7222222222222227
2024-01-02 11:55:00,31.3,-0.3888888888888885
2024-01-02 12:55:00,31.6,-0.22222222222222143
2024-01-02 13:55:00,29.3,-1.4999999999999996
2024-01-02 14:55:00,30.0,-1.1111111111111112
2024-01-02 15:55:00,35.2,1.7777777777777792
2024-01-02 16:55:00,41.5,5.277777777777778
2024-01-02 17:55:00,40.5,4.722222222222222
2024-01-02 18:55:00,43.2,6.222222222222223
2024-01-02 19:55:00,43.5,6.388888888888888
2024-01-02 20:55:00,44.4,6.8888888888888875
2024-01-02 21:55:00,43.2,6.222222222222223
2024-01-02 22:55:00,41.4,5.222222222222221
2024-01-02 23:55:00,34.3,1.2777777777777761
2024-01-03 00:55:00,32.9,0.4999999999999992
2024-01-03 01:55:00,32.0,0.0
2024-01-03 02:55:00,26.4,-3.1111111111111116
2024-01-03 03:55:00,27.7,-2.3888888888888893
2024-01-03 05:55:00,26.2,-3.2222222222222223
2024-01-03 06:55:00,26.4,-3.1111111111111116
2024-01-03 07:55:00,23.4,-4.777777777777779
2024-01-03 08:55:00,22.5,-5.277777777777778
2024-01-03 09:55:00,21.4,-5.888888888888889
2024-01-03 10:55:00,22.3,-5.388888888888888
2024-01-03 11:55:00,23.0,-5.0
2024-01-03 12:55:00,21.4,-5.888888888888889
2024-01-03 13:55:00,22.6,-5.222222222222221
2024-01-03 14:55:00,24.3,-4.277777777777778
2024-01-03 15:55:00,31.8,-0.11111111111111072
2024-01-03 16:55:00,38.1,3.3888888888888897
2024-01-03 17:55:00,40.8,4.8888888888888875
2024-01-03 18:55:00,43.5,6.388888888888888
2024-01-03 19:55:00,44.6,7.000000000000001
2024-01-03 20:55:00,43.2,6.222222222222223
2024-01-03 21:55:00,42.1,5.611111111111112
2024-01-03 22:55:00,38.3,3.4999999999999982
2024-01-03 23:55:00,37.9,3.277777777777777
2024-01-04 00:55:00,36.9,2.7222222222222214
2024-01-04 01:55:00,36.3,2.388888888888887
2024-01-04 02:55:00,32.7,0.38888888888889045
2024-01-04 03:55:00,31.8,-0.11111111111111072
2024-01-04 04:55:00,28.0,-2.2222222222222223
2024-01-04 05:55:00,25.7,-3.5000000000000004
2024-01-04 06:55:00,26.2,-3.2222222222222223
2024-01-04 07:55:00,26.6,-2.999999999999999
2024-01-04 08:55:00,26.8,-2.8888888888888884
2024-01-04 09:55:00,27.0,-2.7777777777777777
2024-01-04 10:55:00,28.6,-1.888888888888888
2024-01-04 11:55:00,27.0,-2.7777777777777777
2024-01-04 12:55:00,28.0,-2.2222222222222223
2024-01-04 13:55:00,25.9,-3.3888888888888897
2024-01-04 14:55:00,26.4,-3.1111111111111116
2024-01-04 15:55:00,28.4,-2.000000000000001
2024-01-04 16:55:00,30.7,-0.7222222222222227
